School,County,District,School Address,Phone Number,Administrator,School Type,Low Grade,High Grade,Public School,Charter,Magnet,Year Round
Alamosa Park Elementary,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 940-0700,"Dr. Kyle Ruggles, (760) 940-0700 Ext. 49001, alamosaes@vistausd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Beaumont Elementary,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 726-4040,"Sochie Schmitz, (760) 726-4040 Ext. 54001, beaumontes@vistausd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Bobier Elementary,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 724-8501,"Mrs. Melanie Paliotti, (760) 724-8501 Ext. 55001, bobieres@vistausd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Breeze Hill Elementary,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084-3404",(760) 945-2373,"Sandra Cephas, (760) 945-2373 Ext. 46001, breezehilles@vistausd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Casita Center for Science/Math/Technology,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 724-8442,"Ms. Jenny Chien, (760) 724-8442 Ext. 50001, casitacenteres@vistausd.org",Elementary Schools (Public),K,5,Yes,No,Yes,No
Empresa Elementary,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084-3404",(760) 940-8454,"Dr. Cheree McKean, (760) 940-8454 Ext. 45001, empresaes@vistausd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Foothill Oak Elementary,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 631-3458,"Mrs. Sandra Ceja, (760) 631-3458 Ext. 41001, foothilloakes@vistausd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Grapevine Elementary,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 724-8329 Ext. 2277,"Mr. Rafael Olavide, (760) 724-8329 Ext. 56001, foothilloakes@vistausd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Hannalei Elementary,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 631-6248 Ext. 4200,"Erik Korporaal, (760) 631-6248 Ext. 42001, hannaleies@vistausd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Lake Elementary,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 945-5300 Ext. 4800,"Mrs. Krista Berntsen, (760) 945-5300 Ext. 48001, lakees@vistausd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Madison Middle,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 940-0176 Ext. 2692,"Steven Bailey, (760) 940-0176 Ext. 62001, madisonms@vistausd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Maryland Elementary,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 631-6675 Ext. 4000,"Francisco Leivera, (760) 631-6675 Ext. 40001, marylandes@vistausd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Mission Meadows Elementary,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084-3404",(760) 630-7884 Ext. 4700,"Dr. William Porter, (760) 630-7884 Ext. 47001, missionmeadowses@vistausd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Monte Vista Elementary,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 726-0410 Ext. 2278,"Ms. Kerry Perez, (760) 726-0410 Ext. 57001, montevistaes@vistausd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Rancho Buena Vista High,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084-3404",(760) 727-7284 Ext. 8300,"Mr. Joseph Clevenger, (760) 727-7284 Ext. 72001, ranchobuenavistahs@vistausd.org",High Schools (Public),9,12,Yes,No,No,No
Rancho Minerva Middle,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 631-4500 Ext. 6400,"Ms. Christina DeSanto, (760) 631-4500 Ext. 64001, ranchominervams@vistausd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Roosevelt Middle,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 726-8003 Ext. 2201,"Heather Golly, (760) 726-8003 Ext. 63001, rooseveltms@vistausd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
T.H.E Leadership Academy,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 631-6242 Ext. 4300,"Ms. Kim Morton, (760) 631-6242 Ext. 43001, templeheightses@vistausd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Vista Academy of Visual and Performing Arts,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 941-0880,"Benjie Walker, (760) 941-0880 Ext. 44001, vistaacademyes@vistausd.org",Elementary Schools (Public),K,5,Yes,No,Yes,No
Vista High,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 726-5611 Ext. 71001,"David Jaffe, (760) 726-5611 Ext. 71001, vistahs@vistausd.org",High Schools (Public),9,12,Yes,No,No,No
Vista Innovation and Design Academy,San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084",(760) 724-7115 Ext. 2284,"Mr. Eric Chagala, (760) 724-7115 Ext. 65001, vidams@vistausd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
"Vista Magnet Middle School of Technology, Science, and Math",San Diego,Vista Unified,"1234 Arcadia Ave. Vista, CA 92084-3404",(760) 726-5766 Ext. 6100,"Steve Post, (760) 726-5766 Ext. 61001, vistamagnetms@vistausd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
Warner Elementary,San Diego,Warner Unified,"PO Box 8 Warner Springs, CA 92086-0008",(760) 782-3517,"Mr. David MacLeod, /Superintendent, (760) 782-3517 Ext. 217, david.macleod@warnerusd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Warner Junior/Senior High,San Diego,Warner Unified,"PO Box 8 Warner Springs, CA 92086",(760) 782-3517,"David MacLeod, /Superintendent, (760) 782-3517 Ext. 217, david.macleod@warnerusd.net",High Schools (Public),7,12,Yes,No,No,No
Alamo Elementary,San Francisco,San Francisco Unified,"250 23rd Ave. San Francisco, CA 94121-2009",(415) 750-8456,"Rosa Fong, fongr@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Alvarado Elementary,San Francisco,San Francisco Unified,"625 Douglas St. San Francisco, CA 94114-3140",(415) 695-5695,"Laurie Murdock, murdockl@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Aptos Middle,San Francisco,San Francisco Unified,"105 Aptos Ave. San Francisco, CA 94127-2520",(415) 469-4520,"Nicole Trickett, trickettn@sfusd.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Argonne Elementary,San Francisco,San Francisco Unified,"680 18th Ave. San Francisco, CA 94121-3818",(415) 750-8460,"Sheree Catingub, catingubs@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Balboa High,San Francisco,San Francisco Unified,"1000 Cayuga Ave. San Francisco, CA 94112-3236",(415) 469-4090,"Freedom Siyam, siyamf@sfusd.edu",High Schools (Public),9,12,Yes,No,No,No
Brown Jr. (Willie L) Middle,San Francisco,San Francisco Unified,"2055 Silver Ave. San Francisco, CA 94122-2032",(415) 642-8901,"Charleston Brown, brownc1@sfusd.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Bryant Elementary,San Francisco,San Francisco Unified,"2641 25th St. San Francisco, CA 94110-3514",(415) 695-5780,"Laura Juarez, juarezl@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Buena Vista/ Horace Mann K-8,San Francisco,San Francisco Unified,"3351 23rd St. San Francisco, CA 94110-3031",(415) 695-5881,"Claudia Delarios-Moran, delariosmoranc@sfusd.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Burton (Phillip and Sala) Academic High,San Francisco,San Francisco Unified,"400 Mansell St. San Francisco, CA 94134-1829",(415) 469-4550,"Sam Bass, basss2@sfusd.edu",High Schools (Public),9,12,Yes,No,No,No
Carmichael (Bessie)/FEC,San Francisco,San Francisco Unified,"375 Seventh St. San Francisco, CA 94103-4020",(415) 355-6916,"Tina Lagdamen, lagdament@sfusd.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Carver (George Washington) Elementary,San Francisco,San Francisco Unified,"1360 Oakdale Ave. San Francisco, CA 94124-2724",(415) 330-1540,"Emmanuel Stewart, stewarte@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Chavez (Cesar) Elementary,San Francisco,San Francisco Unified,"825 Shotwell St. San Francisco, CA 94110-3212",(415) 695-5765,"Jennifer Freeman, freemanj1@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Chin (John Yehall) Elementary,San Francisco,San Francisco Unified,"350 Broadway St. San Francisco, CA 94133-4503",(415) 291-7946,"Allen Lee, leea@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Chinese Immersion School at DeAvila,San Francisco,San Francisco Unified,"1250 Waller St. San Francisco, CA 94117-2919",(415) 241-6325,"Wendy Cheong, cheongw@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Clarendon Alternative Elementary,San Francisco,San Francisco Unified,"500 Clarendon Ave. San Francisco, CA 94131-1113",(415) 759-2796,"Peter Van Court, vancourtp@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Cleveland Elementary,San Francisco,San Francisco Unified,"455 Athens St. San Francisco, CA 94112-2801",(415) 469-4709,"Benjamin Salas-Velasco, salas-velascob@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Cobb (William L.) Elementary,San Francisco,San Francisco Unified,"2725 California St. San Francisco, CA 94115-2513",(415) 749-3505,"Joseph Funk, funkj@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Denman (James) Middle,San Francisco,San Francisco Unified,"241 Oneida Ave. San Francisco, CA 94112-3228",(415) 469-4535,"Lisa Jovick-Berrueta, jovickl@sfusd.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Drew (Charles) College Preparatory Academy,San Francisco,San Francisco Unified,"50 Pomona Ave. San Francisco, CA 94124-2344",(415) 330-1526,"Vidrale Franklin, franklinv@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
El Dorado Elementary,San Francisco,San Francisco Unified,"70 Delta St. San Francisco, CA 94134-2145",(415) 330-1537,"Silvia Cordero, corderos@sfusd.edu",Elementary Schools (Public),P,5,Yes,No,No,No
Everett Middle,San Francisco,San Francisco Unified,"450 Church St. San Francisco, CA 94114-1721",(415) 241-6344,"Lindsay Dowdle, dowdlel@sfusd.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Feinstein (Dianne) Elementary,San Francisco,San Francisco Unified,"2550 25th Ave. San Francisco, CA 94116-2901",(415) 615-8460,"Ms. Michelle Chang, (415) 241-6000, changm@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Flynn (Leonard R.) Elementary,San Francisco,San Francisco Unified,"3125 Cesar Chavez St. San Francisco, CA 94110-4722",(415) 695-5770,"Tyler Woods, woodst@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Francisco Middle,San Francisco,San Francisco Unified,"2190 Powell St. San Francisco, CA 94133-1949",(415) 291-7900,"Patrick West, westp@sfusd.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Galileo High,San Francisco,San Francisco Unified,"1150 Francisco St. San Francisco, CA 94109-1004",(415) 749-3430,"Tami Benau, benaut@sfusd.edu",High Schools (Public),9,12,Yes,No,No,No
Garfield Elementary,San Francisco,San Francisco Unified,"420 Filbert St. San Francisco, CA 94133-3002",(415) 291-7924,"Jennifer Sethasang, sethasangj@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Giannini (A.P.) Middle,San Francisco,San Francisco Unified,"3151 Ortega St. San Francisco, CA 94122-4051",(415) 759-2770,"Tai-Sun Schoeman, schoemant@sfusd.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Glen Park Elementary,San Francisco,San Francisco Unified,"151 Lippard Ave. San Francisco, CA 94131-3249",(415) 469-4713,"Liz Zarr, zarrl@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Grattan Elementary,San Francisco,San Francisco Unified,"165 Grattan St. San Francisco, CA 94117-4208",(415) 759-2815,"Catherine Walter, walterc@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Guadalupe Elementary,San Francisco,San Francisco Unified,"859 Prague St. San Francisco, CA 94112-4516",(415) 469-4718,"Maria Luz Agudelo, agudelom@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Harte (Bret) Elementary,San Francisco,San Francisco Unified,"1035 Gilman Ave. San Francisco, CA 94124-3710",(415) 330-1520,"Jeremy Hilinski, hilinskij@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Hillcrest Elementary,San Francisco,San Francisco Unified,"810 Silver Ave. San Francisco, CA 94134-1012",(415) 469-4722,"Katerina Palomares, palomaresk@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Hoover (Herbert) Middle,San Francisco,San Francisco Unified,"2290 14th Ave. San Francisco, CA 94116-1841",(415) 759-2783,"Elizabeth Fierst, fierste1@sfusd.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Huerta (Dolores) Elementary,San Francisco,San Francisco Unified,"65 Chenery St. San Francisco, CA 94131-2706",(415) 695-5669,"Luis Rodriguez, rodriguezl2@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Jefferson Elementary,San Francisco,San Francisco Unified,"1725 Irving St. San Francisco, CA 94122-1893",(415) 759-2821,"Kim Adams, adamsk2@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Key (Francis Scott) Elementary,San Francisco,San Francisco Unified,"1530 43rd Ave. San Francisco, CA 94122-2925",(415) 759-2811,"Mimi Kasner, kasnery@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
King (Thomas Starr) Elementary,San Francisco,San Francisco Unified,"1215 Carolina St. San Francisco, CA 94107-3322",(415) 695-5797,"Darlene Martin, martind@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
King Jr. (Martin Luther) Academic Middle,San Francisco,San Francisco Unified,"350 Girard St. San Francisco, CA 94134-1469",(415) 330-1500,"Michael Essien, essienm@sfusd.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Lafayette Elementary,San Francisco,San Francisco Unified,"4545 Anza St. San Francisco, CA 94121-2621",(415) 750-8483,"Jacob Hodgson, hodgsonj@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Lakeshore Alternative Elementary,San Francisco,San Francisco Unified,"220 Middlefield Dr. San Francisco, CA 94132-1418",(415) 759-2825,"Matthew Hartford, hartfordm@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Lau (Gordon J.) Elementary,San Francisco,San Francisco Unified,"950 Clay St. San Francisco, CA 94108-1521",(415) 291-7921,"Gloria Choy, choyg@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Lawton Alternative Elementary,San Francisco,San Francisco Unified,"1570 31st Ave. San Francisco, CA 94122-3104",(415) 759-2832,"Armen Sedrakian, sedrakiana@sfusd.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Lee (Edwin and Anita) Newcomer,San Francisco,San Francisco Unified,"657 Merchant St. San Francisco, CA 94111-2505",(415) 291-7918,"Victor Tam, tamv@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Lick (James) Middle,San Francisco,San Francisco Unified,"1220 Noe St. San Francisco, CA 94114-3714",(415) 695-5675,"Timothy Reidy, reidyt@sfusd.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Lilienthal (Claire) Elementary,San Francisco,San Francisco Unified,"3630 Divisadero St. San Francisco, CA 94123-1411",(415) 749-3516,"Moira Zacharakis, zacharakism@sfusd.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Lincoln (Abraham) High,San Francisco,San Francisco Unified,"2162 24th Ave. San Francisco, CA 94116-1723",(415) 759-2700,"Sharimar Manalang, manalangs@sfusd.edu",High Schools (Public),9,12,Yes,No,No,No
Longfellow Elementary,San Francisco,San Francisco Unified,"755 Morse St. San Francisco, CA 94112-4223",(415) 469-4730,"Alicia Aleman, alemana@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Lowell High,San Francisco,San Francisco Unified,"1101 Eucalyptus Dr. San Francisco, CA 94132-1401",(415) 759-2730,"Andrew Ishibashi, ishibashia@sfusd.edu",High Schools (Public),9,12,Yes,No,No,No
Malcolm X Academy,San Francisco,San Francisco Unified,"350 Harbor Rd. San Francisco, CA 94124-2474",(415) 695-5950,"Marco Taylor, taylorm1@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Marina Middle,San Francisco,San Francisco Unified,"3500 Fillmore St. San Francisco, CA 94123-2103",(415) 749-3495,"Ginny Daws, dawsg@sfusd.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Marshall (Thurgood) High,San Francisco,San Francisco Unified,"45 Conkling St. San Francisco, CA 94124-1931",(415) 695-5612,"Mark Heringer, heringerm@sfusd.edu",High Schools (Public),9,12,Yes,No,No,No
Marshall Elementary,San Francisco,San Francisco Unified,"1575 15th St. San Francisco, CA 94103-3639",(415) 241-6280,"Peter Avila, avilap@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
McCoppin (Frank) Elementary,San Francisco,San Francisco Unified,"651 Sixth Ave. San Francisco, CA 94118-3804",(415) 750-8475,"Bennett Lee, leeb2@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
McKinley Elementary,San Francisco,San Francisco Unified,"1025 14th St. San Francisco, CA 94114-1221",(415) 241-6300,"Molly Pope, popem@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Milk (Harvey) Civil Rights Elementary,San Francisco,San Francisco Unified,"4235 19th St. San Francisco, CA 94114-2415",(415) 241-6276,"Ronnie Machado, machador@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Miraloma Elementary,San Francisco,San Francisco Unified,"175 Omar Way San Francisco, CA 94127-1701",(415) 469-4734,"Noah Ingber, ingbern@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Mission Education Center,San Francisco,San Francisco Unified,"1670 Noe St. San Francisco, CA 94131-2357",(415) 695-5313,"Carla Llewelyn-Vasquez, llewelyn-vasquezc@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Mission High,San Francisco,San Francisco Unified,"3750 18th St. San Francisco, CA 94114-2614",(415) 241-6240,"Eric Guthertz, guthertze@sfusd.edu",High Schools (Public),9,12,Yes,No,No,No
Monroe Elementary,San Francisco,San Francisco Unified,"260 Madrid St. San Francisco, CA 94112-2055",(415) 469-4736,"Thor Boucher, bouchert@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Moscone (George R.) Elementary,San Francisco,San Francisco Unified,"2576 Harrison St. San Francisco, CA 94110-2720",(415) 695-5736,"Valerie Ann Hoshino, hoshinov@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Muir (John) Elementary,San Francisco,San Francisco Unified,"380 Webster St. San Francisco, CA 94117-3512",(415) 241-6335,"Shawn Mansager, mansagers@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
New Traditions Elementary,San Francisco,San Francisco Unified,"2049 Grove St. San Francisco, CA 94117-1123",(415) 750-8490,"Julie Alderete, alderetej@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
O'Connell (John) High,San Francisco,San Francisco Unified,"2355 Folsom St. San Francisco, CA 94110-2010",(415) 695-5370,"Susan Ryan, ryans1@sfusd.edu",High Schools (Public),9,12,Yes,No,No,No
Ortega (Jose) Elementary,San Francisco,San Francisco Unified,"400 Sargent St. San Francisco, CA 94132-3152",(415) 469-4726,"Benjamin Klaus, klausb@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Parker (Jean) Elementary,San Francisco,San Francisco Unified,"840 Broadway St. San Francisco, CA 94133-4219",(415) 291-7990,"Eric Leung, leunge1@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Parks (Rosa) Elementary,San Francisco,San Francisco Unified,"1501 O'Farrell St. San Francisco, CA 94115-3762",(415) 749-3519,"Darren Kawaii, kawaiid@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Peabody (George) Elementary,San Francisco,San Francisco Unified,"251 Sixth Ave. San Francisco, CA 94118-2311",(415) 750-8480,"Willem Vroegh, vroeghw@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Presidio Middle,San Francisco,San Francisco Unified,"450 30th Ave. San Francisco, CA 94121-1766",(415) 750-8435,"Emma Dunbar, dunbare@sfusd.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Redding Elementary,San Francisco,San Francisco Unified,"1421 Pine St. San Francisco, CA 94109-4719",(415) 749-3525,"Jeanne Dowd, dowdj@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Revere (Paul) Elementary,San Francisco,San Francisco Unified,"555 Tompkins Ave. San Francisco, CA 94110-6144",(415) 695-5656,"Lee Bryan, bryanjr.g@sfusd.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Rooftop Elementary,San Francisco,San Francisco Unified,"443 Burnett Ave. San Francisco, CA 94131-1330",(415) 695-5692,"Nancy Bui, buin@sfusd.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Roosevelt Middle,San Francisco,San Francisco Unified,"460 Arguello Blvd. San Francisco, CA 94118-2505",(415) 750-8446,"Michael Stachon, stachonm@sfusd.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
San Francisco Community Alternative,San Francisco,San Francisco Unified,"125 Excelsior Ave. San Francisco, CA 94112-2041",(415) 469-4739,"Zaia Vera, veraz@sfusd.edu",Elementary Schools (Public),K,8,Yes,No,No,No
San Francisco Public Montessori,San Francisco,San Francisco Unified,"2340 Jackson St. San Francisco, CA 94115-1323",(415) 749-3544,"Lindsey Keener, keenerl@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Sanchez Elementary,San Francisco,San Francisco Unified,"325 Sanchez St. San Francisco, CA 94114-1615",(415) 241-6380,"Ann Marin, marina@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Serra (Junipero) Elementary,San Francisco,San Francisco Unified,"625 Holly Park Cir. San Francisco, CA 94110-5815",(415) 695-5685,"Eve Cheung, cheunge@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Sheridan Elementary,San Francisco,San Francisco Unified,"431 Capitol Ave. San Francisco, CA 94112-2934",(415) 469-4743,"Dina Edwards, edwardsd@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Sherman Elementary,San Francisco,San Francisco Unified,"1651 Union St. San Francisco, CA 94123-4506",(415) 749-3530,"Gina Ferrante, ferranteg@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Sloat (Commodore) Elementary,San Francisco,San Francisco Unified,"50 Darien Way San Francisco, CA 94127-1902",(415) 759-2807,"Fowzigiah Abdolcader, abdolcaderf@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Spring Valley Elementary,San Francisco,San Francisco Unified,"1451 Jackson St. San Francisco, CA 94109-3115",(415) 749-3535,"Son-Hui Wong, wongs10@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Stevenson (Robert Louis) Elementary,San Francisco,San Francisco Unified,"2051 34th Ave. San Francisco, CA 94116-1109",(415) 759-2837,"Diane Lau-Yee, lau-yeed@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Sunnyside Elementary,San Francisco,San Francisco Unified,"250 Foerster St. San Francisco, CA 94112-1341",(415) 469-4746,"Sauntheri Spoering, sch842@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Sunset Elementary,San Francisco,San Francisco Unified,"1920 41st Ave. San Francisco, CA 94116-1101",(415) 759-2760,"Sophie Lee, lees5@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Sutro Elementary,San Francisco,San Francisco Unified,"235 12th Ave. San Francisco, CA 94118-2103",(415) 750-8525,"Marion Currell, currellm@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Taylor (Edward R.) Elementary,San Francisco,San Francisco Unified,"423 Burrows St. San Francisco, CA 94134-1449",(415) 330-1530,"David Norris, (510) 213-2842, norrisd@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Tenderloin Community,San Francisco,San Francisco Unified,"627 Turk St. San Francisco, CA 94102-3212",(415) 749-3567,"Barbara Berman, bermanb@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Ulloa Elementary,San Francisco,San Francisco Unified,"2650 42nd Ave. San Francisco, CA 94116-2714",(415) 759-2841,"Carol Fong, fongc1@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Visitacion Valley Elementary,San Francisco,San Francisco Unified,"55 Schwerin St. San Francisco, CA 94134-2742",(415) 469-4796,"Bridget Wallace, wallaceb@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Visitacion Valley Middle,San Francisco,San Francisco Unified,"1971 Visitacion Ave. San Francisco, CA 94134-2700",(415) 469-4590,"Joe Truss, trussj@sfusd.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Wallenberg (Raoul) Traditional High,San Francisco,San Francisco Unified,"40 Vega St. San Francisco, CA 94115-3826",(415) 749-3469,"Dimitric Roseboro, roseborod@sfusd.edu",High Schools (Public),9,12,Yes,No,No,No
Washington (George) High,San Francisco,San Francisco Unified,"600 32nd Ave. San Francisco, CA 94121-2733",(415) 750-8400,"Susan Saunders, saunderss1@sfusd.edu",High Schools (Public),9,12,Yes,No,No,No
Webster (Daniel) Elementary,San Francisco,San Francisco Unified,"465 Missouri St. San Francisco, CA 94107-2826",(415) 695-5787,"Carrie Betti, bettic@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
West Portal Elementary,San Francisco,San Francisco Unified,"5 Lenox Way San Francisco, CA 94127-1111",(415) 759-2846,"Karen Lee, leek6@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Yick Wo Elementary,San Francisco,San Francisco Unified,"2245 Jones St. San Francisco, CA 94133-2207",(415) 749-3540,"Sarah Van Velsor, vanvelsors@sfusd.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Yu (Alice Fong) Elementary,San Francisco,San Francisco Unified,"1541 12th Ave. San Francisco, CA 94122-3503",(415) 759-2764,"Liana Szeto, szetol@sfusd.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Banta Elementary,San Joaquin,Banta Elementary,"22345 South El Rancho Rd. Tracy, CA 95304-9413",(209) 229-4650,"Dr. Ann Jayne, (209) 229-4650, ajayne@bantasd.org",Elementary Schools (Public),K,8,Yes,No,No,No
Collegeville Elementary,San Joaquin,Escalon Unified,"6701 South Jack Tone Rd. Stockton, CA 95215-9556",(209) 941-2007,"George Megenney, gmegenney@escalonusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Dent Elementary,San Joaquin,Escalon Unified,"1998 Yosemite Ave. Escalon, CA 95320-1845",(209) 838-7031,"Anthony Varni, avarni@escalonusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
El Portal Middle,San Joaquin,Escalon Unified,"805 First St. Escalon, CA 95320-1508",(209) 838-7095,"Mark Vos, mvos@escalonusd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
